id,day,words,links
18,18,"[""BACKUP"",""COPY"",""PARROT"",""MIRROR"",""GARLIC"",""BREAD"",""TOMATO"",""PEPPER""]","[""REPLACEMENT"",""SYNONYMS FOR IMITATE"",""IMITATE"",""ANTI-VAMPIRE"",""GARLIC BREAD INGREDIENTS"",""B.L.T. INGREDIENTS"",""VEGETABLES THAT ARE ALSO FRUITS""]"
19,19,"[""AGENT"",""MOLE"",""SECOND"",""FLASH"",""STORM"",""REX"",""SPOT"",""BIND""]","[""INTELLIGENCE OPERATIVE"",""UNITS OF MEASURE"",""BLINK OF AN EYE"",""SUPERHEROES"",""T-___"",""CLASSIC DOG NAMES""]"
20,20,"[""CART"",""TEE"",""TANK"",""MASK"",""JACKET"",""COVER"",""TOP"",""YO-YO""]","[""SEEN ON A GOLF COURSE"",""TOPS"",""SCUBA GEAR"",""FENCING EQUIPMENT"",""PARTS OF A BOOK"",""COVERINGS"",""CLASSIC TOYS""]"
21,21,"[""GRASS"",""WEED"",""WATER"",""FIRE"",""RED"",""DEMO"",""AUTO"",""SUB""]","[""SLANG FOR CANNABIS"",""GARDENING NOUNS/VERBS"",""CLASSICAL ELEMENTS"",""___ ANT"",""___ TAPE"",""PREFIXES WITH -CRACY"",""COMMON PREFIXES""]"
22,22,"[""FILE"",""SAW"",""RING"",""TRAIN"",""BIRD"",""AIRPLANE"",""MOTHER"",""AUNT""]","[""TOOLS"",""HORROR FRANCHISES"",""BRIDAL ACCESSORIES"",""THINGS THAT WHISTLE"",""THINGS WITH WINGS"",""MOVIES WITH “!”"",""RELATIVES""]"
23,23,"[""ME"",""US"",""OK"",""MA"",""SPARROW"",""SILVER"",""STAR"",""DASH""]","[""PRONOUNS"",""MAGAZINES"",""STATE ABBREVIATIONS"",""JACKS"",""FICTIONAL PIRATES"",""___ FISH THAT AREN’T FISH"",""___BOARD""]"
24,24,"[""ANGEL"",""CUB"",""KID"",""JOSH"",""ROB"",""PINCH"",""TAP"",""WELL""]","[""M.L.B. TEAM MEMBER"",""BABY ANIMALS"",""PLAYFULLY BOTHER"",""NICKNAMES THAT ARE VERBS"",""THIEVE"",""TOUCHSCREEN GESTURES"",""WATER SOURCES""]"
25,25,"[""BRAVE"",""UP"",""TWIST"",""FUDGE"",""CHERRY"",""BAR"",""ISLAND"",""EGG""]","[""PIXAR MOVIES"",""MARTINI SPECIFICATIONS"",""ALTER DECEPTIVELY"",""SUNDAE TOPPINGS"",""SLOT MACHINE SYMBOLS"",""LAND SURROUNDED BY WATER"",""EASTER ___""]"
26,26,"[""RAT"",""SING"",""HUM"",""BUZZ"",""MEOW"",""EYE"",""CHEEK"",""GALL""]","[""TATTLE"",""CARRY A TUNE"",""MONOTONOUS SOUNDS"",""ANIMAL SOUNDS"",""CAT’S ___"",""FACIAL FEATURES"",""SHAMELESS BOLDNESS""]"
27,27,"[""CHAIN"",""TRAIN"",""RING"",""SAW"",""GEAR"",""HANDLEBAR"",""HORSESHOE"",""MOON""]","[""SEQUENCE"",""BRIDAL ACCESSORIES"",""HORROR FRANCHISES"",""THINGS WITH TEETH"",""BIKE PARTS"",""MUSTACHES"",""LUCKY CHARMS MARSHMALLOWS""]"
28,28,"[""BAIT"",""FLY"",""MOTH"",""WOLF"",""SCARF"",""TIE"",""LINK"",""SONIC""]","[""FISHING TERMS"",""WINGED INSECTS"",""NOCTURNAL ANIMALS"",""SYNONYMS FOR EAT"",""NECKWEAR"",""CONNECTION"",""VIDEO GAME CHARACTERS""]"
29,29,"[""BODY"",""BRIDGE"",""SPIT"",""PIN"",""BALL"",""OUT"",""COPY"",""PARROT""]","[""GUITAR PARTS"",""CARD GAMES"",""LONG, SHARP OBJECTS"",""BOWLING"",""BASEBALL CALLS"",""RADIO LINGO"",""SYNONYMS FOR IMITATE""]"
30,30,"[""RETURN"",""OPTION"",""BOND"",""HUNT"",""STALK"",""BUD"",""CHUM"",""FLY""]","[""KEYBOARD KEYS"",""INVESTMENTS"",""FICTIONAL SPIES"",""PURSUE"",""FLOWER PARTS"",""FRIEND"",""FISHING TERMS""]"
31,31,"[""BLANKET"",""BROAD"",""POD"",""PAD"",""JOINT"",""COMMON"",""FUTURE"",""PRESENT""]","[""UNIVERSAL"",""___CAST"",""WORDS WITH “i”"",""SLANG FOR HOME"",""SHARED"",""RAPPERS"",""GRAMMAR TENSE TERMS""]"
32,32,"[""HARBOR"",""HARP"",""BASS"",""DESERT"",""FOREST"",""MINT"",""MANGO"",""BANANA""]","[""SEALS"",""MUSICAL INSTRUMENTS"",""HETERONYMS"",""BIOMES"",""SHADES OF GREEN"",""CHUTNEY VARIETIES"",""TROPICAL FRUITS""]"
33,33,"[""FRY"",""WING"",""BRANCH"",""TRUNK"",""BEAK"",""FEATHER"",""STAR"",""SILVER""]","[""APPETIZER UNIT"",""DIVISION"",""TREE FEATURES"",""ANIMAL NOSES"",""BIRD FEATURES"",""POWER-UPS IN SUPER MARIO WORLD"",""___ FISH THAT AREN’T FISH""]"
34,34,"[""DRIFT"",""DOG"",""ARROW"",""BOW"",""STERN"",""KING"",""QUEEN"",""MATE""]","[""___WOOD"",""“POINTERS”"",""ARCHERY EQUIPMENT"",""SHIP DIRECTIONS"",""RADIO HALL OF FAME MEMBERS"",""MATTRESS SIZES"",""CHESS TERMS""]"
35,35,"[""INK"",""RANGE"",""SINK"",""DROP"",""DASH"",""BOLT"",""ZIP"",""TIFF""]","[""COLORS MINUS THEIR FIRST LETTERS"",""FOUND IN A KITCHEN"",""DECLINE"",""LITTLE BIT, IN A RECIPE"",""RUN QUICKLY"",""MOVE QUICKLY"",""FILE EXTENSIONS""]"
36,36,"[""BOOT"",""PUMP"",""SLIDE"",""SWING"",""HUSTLE"",""CON"",""FOOL"",""MARK""]","[""FOOTWEAR"",""SHOES"",""PLAYGROUND FIXTURES"",""DANCES"",""SCAM"",""DECEIVE"",""TARGET OF A SCHEME""]"
37,37,"[""SPEAK"",""AIR"",""WATER"",""LEAD"",""GUIDE"",""DIRECT"",""RUN"",""SPLIT""]","[""EXPRESS"",""CLASSICAL ELEMENTS"",""___ BALLOON"",""HELM"",""SHEPHERD"",""PRESIDE OVER"",""DEPART QUICKLY""]"
38,38,"[""CAMP"",""WING"",""FRY"",""WONDER"",""SEA"",""ARE"",""SEE"",""CATCH""]","[""GROUP WITHIN A GROUP"",""APPETIZER UNIT"",""SMALL ___"",""MEMBERS OF A SEPTET"",""LETTER HOMOPHONES"",""WORDS ABBREVIATED WITH LETTERS""]"
39,39,"[""MITE"",""SPIDER"",""SUPER"",""AWFUL"",""REAL"",""STERLING"",""PRIME"",""PEACOCK""]","[""ARACHNIDS"",""___ MAN SUPERHEROES"",""EXTREMELY"",""ADJECTIVE INTENSIFIERS"",""WORLD CURRENCIES"",""EXCELLENT"",""STREAMING SERVICES""]"
40,40,"[""BONE"",""STORM"",""FLASH"",""SECOND"",""MOLE"",""AGENT"",""SANTA"",""TASTE""]","[""T-___"",""SUPERHEROES"",""BLINK OF AN EYE"",""UNITS OF MEASURE"",""ONE INVOLVED IN ESPIONAGE"",""SECRET ___"",""“BAD ___” MOVIES""]"
41,41,"[""GENIE"",""PARROT"",""COPY"",""CUT"",""TRACK"",""HUNT"",""SMART"",""BRIGHT""]","[""SEEN IN “ALADDIN”"",""SYNONYMS FOR IMITATE"",""EDIT MENU COMMANDS"",""SONG"",""PURSUE"",""FICTIONAL SPIES"",""INTELLIGENT""]"
42,42,"[""CHARCOAL"",""INK"",""RANGE"",""SINK"",""DROP"",""DASH"",""BOLT"",""ZIP""]","[""ART MEDIUMS"",""COLORS MINUS THEIR FIRST LETTERS"",""FOUND IN A KITCHEN"",""DECLINE"",""LITTLE BIT, IN A RECIPE"",""RUN QUICKLY"",""MOVE QUICKLY""]"
43,43,"[""BANK"",""SAVE"",""COPY"",""PARROT"",""MIRROR"",""GARLIC"",""BREAD"",""TOMATO""]","[""RESERVE FOR LATER"",""SHORTCUT COMMANDS"",""SYNONYMS FOR IMITATE"",""IMITATE"",""ANTI-VAMPIRE"",""GARLIC BREAD INGREDIENTS"",""B.L.T. INGREDIENTS""]"
44,44,"[""ASS"",""RABBIT"",""HORSE"",""VAULT"",""SPRING"",""TAP"",""PINCH"",""DASH""]","[""JACK ___"",""CHINESE ZODIAC ANIMALS"",""GYMNASTICS APPARATUS"",""JUMP INTO THE AIR"",""WATER SOURCES"",""TOUCHSCREEN GESTURES"",""LITTLE BIT, IN A RECIPE""]"
45,45,"[""CATFISH"",""STATE"",""STEAM"",""SPIRIT"",""GHOST"",""DESERT"",""FOREST"",""LIME""]","[""MTV SHOWS"",""HEAD OF ___"",""ENERGY"",""APPARITIONS"",""RUDELY BREAK OFF CONTACT"",""BIOMES"",""SHADES OF GREEN""]"
46,46,"[""FOLLOW"",""SHARE"",""CUT"",""COPY"",""PARROT"",""MIRROR"",""GARLIC"",""BREAD""]","[""SOCIAL MEDIA ACTIONS"",""PORTION OF PROFIT"",""EDIT MENU COMMANDS"",""SYNONYMS FOR IMITATE"",""IMITATE"",""ANTI-VAMPIRE"",""GARLIC BREAD INGREDIENTS""]"
47,47,"[""FOAM"",""HEAD"",""CAN"",""GO"",""CHANCE"",""CAT"",""MOUNTAIN"",""VALLEY""]","[""FINE BUBBLES"",""SLANG FOR TOILET"",""DANCES WHEN DOUBLED"",""MONOPOLY SQUARES"",""FAT ___"",""YOGA POSES"",""LAND FORMATIONS""]"
48,48,"[""LP"",""WAX"",""HONEY"",""SUGAR"",""ICE"",""GREEN"",""SCARLET"",""LOVE""]","[""TERMS FOR RECORDS"",""BEE CREATIONS"",""TERMS OF ENDEARMENT"",""CUBE-SHAPED"",""___LAND"",""CLUE CHARACTERS"",""___ LETTER""]"
49,49,"[""AMERICAN"",""PIPE"",""TUBE"",""BOOK"",""SPLIT"",""GLASS"",""PAPER"",""ROCK""]","[""___ DREAM"",""HOLLOW CYLINDERS"",""SOCIAL MEDIA APP ENDINGS"",""DEPART QUICKLY"",""M. NIGHT SHYAMALAN MOVIES"",""RECYCLING CATEGORIES"",""ROCK PAPER SCISSORS""]"
50,50,"[""HERTZ"",""MOLE"",""AGENT"",""SANTA"",""FUR"",""DOWN"",""LOW"",""SHORT""]","[""UNITS OF MEASURE"",""ONE INVOLVED IN ESPIONAGE"",""SECRET ___"",""___ BABY"",""ANIMAL COVERINGS"",""SYNONYMS FOR SAD"",""INSUFFICIENT""]"
51,51,"[""CALCULATOR"",""CLOCK"",""WATCH"",""TIE"",""SCARF"",""WOLF"",""PRINCESS"",""MUSHROOM""]","[""SMARTPHONE FEATURES BEGINNING WITH “C”"",""TIMEKEEPING DEVICES"",""ACCESSORIES"",""NECKWEAR"",""SYNONYMS FOR EAT"",""FAIRY TALE FIGURES"",""SUPER MARIO-RELATED""]"
52,52,"[""DISPLAY"",""SHOW"",""ROCKY"",""HIGH"",""LIT"",""FIRE"",""WATER"",""LEAD""]","[""MAKE PUBLIC"",""ROCKY HORROR PICTURE SHOW"",""___ ROAD"",""STONED"",""COOL, IN SLANG"",""CLASSICAL ELEMENTS"",""___ BALLOON""]"
53,53,"[""CURL"",""LOCK"",""SECURE"",""LAND"",""PERCH"",""SHARK"",""CROOK"",""EYE""]","[""BIT OF HAIR"",""ASSURE, AS A WIN"",""OBTAIN"",""COME DOWN TO REST"",""FISH"",""SWINDLER"",""EGYPTIAN SYMBOLS""]"
54,54,"[""BADGERS"",""BUGS"",""DUST"",""VACUUM"",""STRAW"",""LID"",""COVER"",""PAGE""]","[""PESTERS"",""___ BUNNY"",""CLEANING VERBS"",""THINGS THAT SUCK"",""COFFEE COUNTER ITEMS"",""COVERINGS"",""PARTS OF A BOOK""]"
55,55,"[""INCH"",""FOOT"",""BOTTOM"",""TAIL"",""TRACK"",""HUNT"",""SMART"",""BRIGHT""]","[""UNITS OF LENGTH"",""LOWEST POINT"",""BUTT"",""FOLLOW"",""PURSUE"",""FICTIONAL SPIES"",""INTELLIGENT""]"
56,56,"[""HULU"",""PRIME"",""MAIN"",""FIRST"",""HIGH"",""LIT"",""FIRE"",""WATER""]","[""STREAMING SERVICES"",""FOREMOST"",""PRIMARY"",""___ CHAIR"",""STONED"",""COOL, IN SLANG"",""CLASSICAL ELEMENTS""]"
57,57,"[""SANDBOX"",""SWING"",""HUSTLE"",""CON"",""FOOL"",""MARK"",""JOB"",""POLISH""]","[""PLAYGROUND FIXTURES"",""DANCES"",""SCAM"",""DECEIVE"",""TARGET OF A SCHEME"",""BIBLE BOOKS"",""WORDS WITH TWO PRONUNCIATIONS""]"
58,58,"[""CLINCH"",""SECURE"",""LAND"",""PERCH"",""SHARK"",""CROOK"",""EYE"",""NOSE""]","[""ASSURE, AS A WIN"",""OBTAIN"",""COME DOWN TO REST"",""FISH"",""SWINDLER"",""EGYPTIAN SYMBOLS"",""FACIAL FEATURES""]"
59,59,"[""BLANK"",""SPACE"",""DATE"",""LEMON"",""DUD"",""BORE"",""SNOOZE"",""HOT""]","[""EXPERIENCE A MEMORY LAPSE"",""DOUBLE ___"",""FRUIT"",""FAILURE"",""PARTY POOPER"",""SOMETHING TIRESOME"",""___ BUTTON""]"
60,60,"[""BASE"",""BOND"",""HUNT"",""STALK"",""BUD"",""CHUM"",""FLY"",""GNAT""]","[""CHEMISTRY TERMS"",""FICTIONAL SPIES"",""PURSUE"",""FLOWER PARTS"",""FRIEND"",""FISHING TERMS"",""WINGED INSECTS""]"
61,61,"[""O"",""OK"",""MA"",""SPARROW"",""SILVER"",""STAR"",""DASH"",""BOLT""]","[""MAGAZINES"",""STATE ABBREVIATIONS"",""JACKS"",""FICTIONAL PIRATES"",""___ FISH THAT AREN’T FISH"",""___BOARD"",""RUN QUICKLY""]"
62,62,"[""CONDO"",""HERO"",""SUB"",""CLUB"",""HEART"",""KIDNEY"",""LIMA"",""POLISH""]","[""BIRDS MINUS LAST LETTER"",""LONG SANDWICHES"",""SANDWICHES"",""PLAYING CARD SUITS"",""ORGANS"",""BEANS"",""WORDS WITH TWO PRONUNCIATIONS""]"
63,63,"[""BOOB"",""EGGSHELL"",""CREAM"",""STRING"",""TRAIN"",""BOAT"",""CAR"",""BUS""]","[""WORDS SPELLED WITH AN UPSIDE-DOWN CALCULATOR"",""OFF-WHITE SHADES"",""___ CHEESE"",""SEQUENCE"",""MODES OF TRANSPORTATION"",""MEANS OF TRANSPORTATION""]"
64,64,"[""COLLECTIVE"",""COMMON"",""FUTURE"",""PRESENT"",""SHOW"",""ROCKY"",""HIGH"",""LIT""]","[""SHARED"",""RAPPERS"",""GRAMMAR TENSE TERMS"",""MAKE PUBLIC"",""ROCKY HORROR PICTURE SHOW"",""___ ROAD"",""STONED""]"
65,65,"[""LETTER"",""WORD"",""EDGE"",""BITE"",""WAVE"",""SHAKE"",""MALT"",""CUB""]","[""UNIT OF LANGUAGE"",""MICROSOFT PRODUCTS"",""SHARP QUALITY"",""SOUND ___"",""GREETING GESTURES"",""SODA FOUNTAIN ORDERS"",""COUNTRIES WHEN “A” IS ADDED""]"
66,66,"[""BORE"",""SNOOZE"",""HOT"",""IN"",""BOOK"",""SPLIT"",""GLASS"",""PAPER""]","[""SOMETHING TIRESOME"",""___ BUTTON"",""FASHIONABLE"",""SOCIAL MEDIA APP ENDINGS"",""DEPART QUICKLY"",""M. NIGHT SHYAMALAN MOVIES"",""RECYCLING CATEGORIES""]"
67,67,"[""ANKH"",""EYE"",""CHEEK"",""BRASS"",""WIND"",""DRAGON"",""RABBIT"",""POT""]","[""EGYPTIAN SYMBOLS"",""FACIAL FEATURES"",""SHAMELESS BOLDNESS"",""MUSICAL SECTIONS"",""MAHJONG TILES"",""CHINESE ZODIAC ANIMALS"",""JACK ___""]"
68,68,"[""BUFF"",""POLISH"",""JOB"",""MARK"",""FOOL"",""CON"",""HUSTLE"",""SWING""]","[""MANICURE STEPS"",""WORDS WITH TWO PRONUNCIATIONS"",""BIBLE BOOKS"",""TARGET OF A SCHEME"",""DECEIVE"",""SCAM"",""DANCES""]"
69,69,"[""MUG"",""CRUSH"",""TRASH"",""BLAST"",""KICK"",""TOM"",""BULL"",""SCALES""]","[""SODA BRANDS"",""DEFEAT BADLY"",""CRITICIZE"",""FUN TIME"",""DRUM SET COMPONENTS"",""MALE ANIMALS"",""ZODIAC SYMBOLS""]"
70,70,"[""FLASH"",""SECOND"",""MOLE"",""AGENT"",""SANTA"",""FUR"",""DOWN"",""LOW""]","[""BRIEF MOMENT"",""UNITS OF MEASURE"",""ONE INVOLVED IN ESPIONAGE"",""SECRET ___"",""___ BABY"",""ANIMAL COVERINGS"",""SYNONYMS FOR SAD""]"
71,71,"[""HALL"",""LOUNGE"",""LOAF"",""BUN"",""TURNOVER"",""PIE"",""CAKE"",""COVER""]","[""ROOMS IN THE GAME CLUE"",""RELAX"",""UNIT OF BREAD"",""BAKED GOODS"",""FOODS WITH CRUSTS"",""DESSERTS"",""“C” WORDS FOR “ENVELOP”""]"
72,72,"[""BASKETBALL"",""CARROT"",""BEET"",""CARDINAL"",""SWIFT"",""MARS"",""CRUNCH"",""KANGAROO""]","[""THINGS THAT ARE ORANGE"",""VEGETABLES"",""THINGS THAT ARE RED"",""BIRDS"",""POP MEGASTARS"",""CHOCOLATE BARS"",""“CAPTAINS”""]"
73,73,"[""DEER"",""BUFFALO"",""COW"",""CAT"",""CHANCE"",""GO"",""CAN"",""HEAD""]","[""SINGLE/PLURAL ANIMALS"",""BOVIDS"",""YOGA POSES"",""FAT ___"",""MONOPOLY SQUARES"",""DANCES WHEN DOUBLED"",""SLANG FOR TOILET""]"
74,74,"[""ANT"",""WEST"",""MATCH"",""BUMBLE"",""SPOIL"",""ROT"",""BULL"",""SCALES""]","[""ADAMS"",""___ POINT"",""DATING APPS"",""MESS UP"",""GO BAD"",""BALDERDASH"",""ZODIAC SYMBOLS""]"
75,75,"[""FARGO"",""FLIPPER"",""BALL"",""OUT"",""COPY"",""PARROT"",""MIRROR"",""GARLIC""]","[""TV SHOWS"",""PINBALL MACHINE COMPONENTS"",""BASEBALL CALLS"",""RADIO LINGO"",""SYNONYMS FOR IMITATE"",""IMITATE"",""ANTI-VAMPIRE""]"
76,76,"[""BLOW"",""STRIKE"",""OUT"",""COPY"",""PARROT"",""MIRROR"",""GARLIC"",""BREAD""]","[""HARD HIT"",""BASEBALL CALLS"",""RADIO LINGO"",""SYNONYMS FOR IMITATE"",""IMITATE"",""ANTI-VAMPIRE"",""GARLIC BREAD INGREDIENTS""]"
77,77,"[""BREAK"",""STRIKE"",""OUT"",""COPY"",""PARROT"",""MIRROR"",""GARLIC"",""BREAD""]","[""LUCKY ___"",""BASEBALL CALLS"",""RADIO LINGO"",""SYNONYMS FOR IMITATE"",""IMITATE"",""ANTI-VAMPIRE"",""GARLIC BREAD INGREDIENTS""]"
78,78,"[""MEDAL"",""CUP"",""QUART"",""NICK"",""DING"",""RING"",""SAW"",""GEAR""]","[""AWARDS"",""UNITS OF VOLUME"",""STARTS OF U.S. COINS"",""MAR"",""DIGITAL NOTIFICATION SOUNDS"",""HORROR FRANCHISES"",""THINGS WITH TEETH""]"
79,79,"[""CANDY"",""PUMPKIN"",""BAT"",""SPIDER"",""TICK"",""X"",""PECK"",""STONE""]","[""HALLOWEEN PURCHASES"",""HALLOWEEN DECORATIONS"",""___ MAN SUPERHEROES"",""ARACHNIDS"",""SELECT, AS A BOX ON A FORM"",""KISS"",""IMPERIAL UNITS""]"
80,80,"[""ARE"",""SEA"",""WONDER"",""FRY"",""WING"",""BRANCH"",""TRUNK"",""BEAK""]","[""LETTER HOMOPHONES"",""MEMBERS OF A SEPTET"",""SMALL ___"",""APPETIZER UNIT"",""DIVISION"",""TREE FEATURES"",""ANIMAL NOSES""]"
81,81,"[""CARD"",""HEART"",""KIDNEY"",""LIMA"",""POLISH"",""FILE"",""SAW"",""RING""]","[""SEEN ON VALENTINE’S DAY"",""ORGANS"",""BEANS"",""WORDS WITH TWO PRONUNCIATIONS"",""MANICURE STEPS"",""TOOLS"",""HORROR FRANCHISES""]"
82,82,"[""HAIR"",""STEAM"",""SPIRIT"",""GHOST"",""DESERT"",""FOREST"",""MINT"",""MANGO""]","[""HEAD OF ___"",""ENERGY"",""APPARITIONS"",""RUDELY BREAK OFF CONTACT"",""BIOMES"",""SHADES OF GREEN"",""CHUTNEY VARIETIES""]"
83,83,"[""BOUNTY"",""CRUNCH"",""MARS"",""SMART"",""HUNT"",""STALK"",""BUD"",""MATE""]","[""CANDY BARS"",""CHOCOLATE BARS"",""TV SHOW TITLE SURNAMES"",""FICTIONAL SPIES"",""PURSUE"",""FLOWER PARTS"",""FRIEND""]"
84,84,"[""BUFFER"",""PAD"",""POD"",""GREEN"",""SCARLET"",""LOVE"",""RIGHT"",""YES""]","[""PROTECTIVE BARRIER"",""WORDS WITH “i”"",""PEA ___"",""CLUE CHARACTERS"",""___ LETTER"",""___ TRIANGLE"",""RESPONSE TO A CORRECT ANSWER""]"
85,85,"[""NAIL"",""BOLT"",""DASH"",""STAR"",""SILVER"",""SPARROW"",""MA"",""OK""]","[""HARDWARE FASTENERS"",""RUN QUICKLY"",""___BOARD"",""___ FISH THAT AREN’T FISH"",""FICTIONAL PIRATES"",""JACKS"",""STATE ABBREVIATIONS""]"
86,86,"[""CLOG"",""PUMP"",""BOOT"",""IRON"",""SPIDER"",""TICK"",""X"",""PECK""]","[""SHOES"",""FOOTWEAR"",""ORIGINAL MONOPOLY TOKENS"",""___ MAN SUPERHEROES"",""ARACHNIDS"",""SELECT, AS A BOX ON A FORM"",""KISS""]"
87,87,"[""FISH"",""BIRD"",""AIRPLANE"",""THEM"",""US"",""OK"",""LA"",""DO""]","[""VERTEBRATES"",""THINGS WITH WINGS"",""MOVIES WITH “!”"",""PRONOUNS"",""MAGAZINES"",""STATE ABBREVIATIONS""]"
88,88,"[""BERRY"",""STONE"",""PECK"",""X"",""TICK"",""SPIDER"",""SUPER"",""AWFUL""]","[""BEST ACTRESS OSCAR WINNERS"",""IMPERIAL UNITS"",""KISS"",""SELECT, AS A BOX ON A FORM"",""ARACHNIDS"",""___ MAN SUPERHEROES"",""EXTREMELY""]"
